,CA,Solicitantes,Año
0,Andalucía,215,2012
1,Aragón,5,2012
2,Asturias,9,2012
3,Cantabria,19,2012
4,Castilla La Mancha,11,2012
5,Castilla y León,15,2012
6,Cataluña,206,2012
7,Ceuta,184,2012
8,Comunidad de Madrid,1,2012
9,Comunidad de Murcia,13,2012
10,Comunidad Valenciana,185,2012
11,Extremadura,2,2012
12,Galicia,10,2012
13,Islas Baleares,12,2012
14,Islas Canarias,39,2012
15,La Rioja,1,2012
16,Melilla,33,2012
17,Navarra,5,2012
18,País Vasco,78,2012
0,Andalucía,686,2013
1,Aragón,96,2013
2,Asturias,21,2013
3,Islas Balerares,8,2013
4,Islas Canarias,81,2013
5,Cantabria,32,2013
6,Castilla y León,41,2013
7,Castilla La Mancha,105,2013
8,Cataluña,484,2013
9,Comunidad Valenciana,457,2013
10,Extremadura,3,2013
11,Galicia,8,2013
12,Comunidad de Madrid,1777,2013
13,Comunidad de Murcia,73,2013
14,Navarra,3,2013
15,País Vasco,62,2013
16,Comunidad Valenciana,3,2013
17,Ceuta,321,2013
18,Melilla,41,2013
0,Andalucía,630,2014
1,Aragón,91,2014
2,Asturias,36,2014
3,Islas Baleares,18,2014
4,Islas Canarias,115,2014
5,Cantabria,47,2014
6,Castilla y León,53,2014
7,Castilla La Mancha,51,2014
8,Cataluña,786,2014
9,Ceuta,392,2014
10,Comunidad Valenciana,605,2014
11,Extremadura,5,2014
12,Galicia,15,2014
13,Comunidad de Madrid,1861,2014
14,Melilla,542,2014
15,Comunidad de Murcia,103,2014
16,Navarra,26,2014
17,País Vasco,99,2014
18,Comunidad Valenciana,0,2014
0,Andalucía,1416,2015
1,Aragón,109,2015
2,Asturias,15,2015
3,Cantabria,55,2015
4,Castilla La Mancha,69,2015
5,Castilla y León,106,2015
6,Cataluña,1302,2015
7,Ceuta,314,2015
8,Comunidad de Madrid,2934,2015
9,Comunidad de Murcia,304,2015
10,Comunidad Valenciana,1108,2015
11,Extremadura,8,2015
12,Galicia,45,2015
13,Islas Baleares,37,2015
14,Islas Canarias,202,2015
15,La Rioja,11,2015
16,Melilla,6336,2015
17,Navarra,26,2015
18,País Vasco,163,2015
0,Andalucía,1784,2016
1,Aragón,138,2016
2,Asturias,66,2016
3,Islas Baleares,127,2016
4,Islas Canarias,433,2016
5,Cantabria,127,2016
6,Castilla y León,290,2016
7,Castilla La Mancha,219,2016
8,Cataluña,1834,2016
9,Ceuta,221,2016
10,Comunidad Valenciana,1367,2016
11,Extremadura,35,2016
12,Galicia,194,2016
13,Comunidad de Madrid,5240,2016
14,Melilla,2456,2016
15,Comunidad de Murcia,565,2016
16,Navarra,79,2016
17,País Vasco,500,2016
18,Comunidad Valenciana,22,2016
0,Andalucía,3307,2017
1,Aragón,349,2017
2,Asturias,355,2017
3,Islas Baleares,207,2017
4,Islas Canarias,889,2017
5,Cantabria,164,2017
6,Castilla y León,766,2017
7,Castilla La Mancha,357,2017
8,Cataluña,3926,2017
9,Comunidad Valenciana,2324,2017
10,Extremadura,126,2017
11,Galicia,692,2017
12,Comunidad de Madrid,11233,2017
13,Comunidad de Murcia,971,2017
14,Navarra,175,2017
15,País Vasco,970,2017
16,Comunidad Valenciana,65,2017
17,Ceuta,206,2017
18,Melilla,2887,2017
0,Andalucía,5414,2018
9,Aragón,975,2018
13,Asturias,531,2018
14,Islas Baleares,494,2018
15,Islas Canarias,2093,2018
18,Cantabria,419,2018
19,Castilla y León,1309,2018
29,Castilla La Mancha,806,2018
35,Cataluña,8047,2018
40,Comunidad Valenciana,4329,2018
44,Extremadura,240,2018
47,Galicia,1408,2018
52,Comunidad de Madrid,20731,2018
53,Comunidad de Murcia,1642,2018
54,Navarra,325,2018
55,País Vasco,1596,2018
59,Comunidad Valenciana,142,2018
60,Ceuta,348,2018
61,Melilla,3475,2018
0,Andalucía,10426,2019
1,Aragón,2654,2019
2,Asturias,1269,2019
3,Islas Baleares,884,2019
4,Islas Canarias,3104,2019
5,Cantabria,514,2019
6,Castilla y León,2747,2019
7,Castilla La Mancha,1614,2019
8,Cataluña,13278,2019
9,Comunidad Valenciana,7509,2019
10,Extremadura,469,2019
11,Galicia,3672,2019
12,Comunidad de Madrid,55135,2019
13,Comunidad de Murcia,2748,2019
14,Navarra,709,2019
15,País Vasco,4827,2019
16,Comunidad Valenciana,344,2019
17,Ceuta,579,2019
18,Melilla,4267,2019
0,Andalucía,9245,2020
1,Aragón,2763,2020
2,Asturias,1001,2020
3,Islas Baleares,1617,2020
4,Islas Canarias,3985,2020
5,Cantabria,418,2020
6,Castilla y León,2446,2020
7,Castilla La Mancha,1402,2020
8,Cataluña,9615,2020
9,Comunidad Valenciana,9061,2020
10,Extremadura,654,2020
11,Galicia,3840,2020
12,Comunidad de Madrid,33878,2020
13,Comunidad de Murcia,2468,2020
14,Navarra,972,2020
15,País Vasco,3085,2020
16,Comunidad Valenciana,475,2020
17,Ceuta,285,2020
18,Melilla,1421,2020
0,Andalucía,6908,2021
1,Aragón,1299,2021
2,Asturias,653,2021
3,Islas Baleares,464,2021
4,Islas Canarias,5497,2021
5,Cantabria,705,2021
6,Castilla y León,1713,2021
7,Castilla La Mancha,1699,2021
8,Cataluña,8529,2021
9,Comunidad Valenciana,4260,2021
10,Extremadura,269,2021
11,Galicia,2209,2021
12,Comunidad de Madrid,17991,2021
13,Comunidad de Murcia,2508,2021
14,Navarra,594,2021
15,País Vasco,1725,2021
16,Comunidad Valenciana,248,2021
17,Ceuta,3157,2021
18,Melilla,3277,2021
