Nacionalidad ;Admitidas;No admitidas;Denegadas;
AFGANISTAN;45;1;0;
ALBANIA;5;1;0;
ANGOLA;6;1;10;
ARGELIA;171;4;25;
ARGENTINA;4;0;1;
ARMENIA;10;0;2;
AZERBAIDYAN;1;0;0;
BANGLADESH;24;3;1;
BENIN;2;0;1;
BIELORRUSIA;12;2;2;
BOLIVIA;9;0;2;
BOSNIA HERZEGOVINA;0;0;1;
BRASIL;3;0;1;
BURKINA FASO;10;0;1;
BURUNDI;1;0;0;
CAMERUN;88;3;28;
CHAD;7;0;1;
CHILE;1;0;1;
CHINA;3;0;0;
COLOMBIA;38;2;16;
COMORAS;0;0;2;
CONGO;10;0;18;
COSTA DE MARFIL;100;5;3;
COSTA RICA;0;0;1;
CROACIA;1;0;0;
CUBA;56;2;2;
ECUADOR;1;0;1;
EGIPTO;14;0;16;
EL SALVADOR;25;8;3;
ERITREA;22;1;0;
ESTADOS UNIDOS DE AMERICA;1;0;0;
ETIOPIA;38;0;0;
FRANCIA;0;0;1;
GABON;1;0;0;
GAMBIA;11;1;12;
GEORGIA;5;4;0;
GHANA;14;0;4;
GUATEMALA;8;0;0;
GUINEA;53;8;12;
GUINEA BISSAU;5;2;1;
GUINEA ECUATORIAL;7;4;1;
HAITI;3;0;0;
HONDURAS;38;0;1;
INDIA;9;1;0;
IRAN;50;4;3;
IRAQ;16;1;1;
JAMAICA;1;0;0;
JORDANIA;13;0;0;
KAZAJSTAN;3;0;0;
KENIA;1;0;0;
LIBANO;4;0;0;
LIBERIA;3;1;1;
LIBIA;12;1;4;
MACEDONIA;2;0;0;
MALAWI;9;0;0;
MALI;88;1;5;
MARRUECOS;32;6;13;
MAURITANIA;7;0;3;
MEXICO;14;1;2;
MOLDAVIA;1;0;0;
MONTENEGRO;0;0;1;
NEPAL;1;0;0;
NICARAGUA;6;0;0;
NIGER;10;0;0;
NIGERIA;145;9;47;
NO RECO. (PALESTINA);75;2;0;
NO RECON. (SAHARA);29;10;8;
PAKISTAN;83;3;11;
PANAMA;2;0;0;
PARAGUAY;4;0;0;
PERU;5;0;0;
REPUBLICA CENTROAFRICANA ;9;0;1;
R.D.CONGO;46;3;29;
REPUBLICA DOMINICANA ;1;0;2;
RUANDA;1;0;1;
RUSIA;25;4;4;
SENEGAL;17;2;7;
SERBIA;2;0;0;
SIERRA LEONA;12;1;1;
SIRIA;226;0;16;
SOMALIA;98;0;0;
SRI LANKA;22;4;9;
SUDAFRICA;0;1;0;
SUDAN;40;0;5;
TOGO;5;1;1;
TRINIDAD TOBAGO;1;0;0;
TUNEZ;3;0;1;
TURKMENISTAN;1;0;0;
TURQUIA;9;1;12;
UCRANIA;17;3;1;
UGANDA;5;0;0;
UZBEKISTAN;4;0;0;
VENEZUELA;24;0;4;
YEMEN;5;0;0;
ZAMBIA;1;0;0;
ZIMBABWE;4;0;0;
Total;2.056;112;364;
